Date,Boss_Prediction,Uncertainty,Conspiracy,Doom,Fed,Hype,Trend
2004-01-01,,0.0,-1.0,0.0,18.625399999999974,0.0,
2004-01-08,,0.0,-1.0,0.0,16.06249999999999,0.0,
2004-01-15,,0.0,-1.0,0.0,16.150550000000003,0.0,
2004-01-22,,0.0,-1.0,0.0,16.168400000000005,0.0,
2004-01-29,,0.0,-1.0,0.0,16.728883333333325,0.0,
2004-02-05,,0.0,-1.0,0.0,17.83329999999998,0.0,
2004-02-12,,0.0,-1.0,0.0,16.116250000000008,0.0,
2004-02-19,,0.0,-1.0,0.0,16.040850000000006,0.0,
2004-02-26,,0.0,-1.0,0.0,16.101550000000007,0.0,
2004-03-04,,0.0,-1.0,0.0,16.094700000000007,0.0,
2004-03-11,,0.0,-1.0,0.0,20.789599999999982,0.0,
2004-03-18,,0.0,-1.0,0.0,19.7715,0.0,
2004-03-25,,0.0,-1.0,0.0,17.502800000000015,0.0,
2004-04-01,,0.0,-1.0,0.0,17.03663833333333,0.0,
2004-04-08,,0.0,-1.0,0.0,16.39415000000002,0.0,
2004-04-15,,0.0,-1.0,0.0,15.744649999999993,0.0,
2004-04-22,,0.0,-1.0,0.0,15.34006666666666,0.0,
2004-04-29,,0.0,-1.0,0.0,17.94415857142858,0.0,
2004-05-06,,0.0,-1.0,0.0,17.245000000000008,0.0,
2004-05-13,,0.0,-1.0,0.0,19.94326500000001,0.0,
2004-05-20,,0.0,-1.0,0.0,19.334700000000023,0.0,
2004-05-27,,0.0,-1.0,0.0,16.33879999999999,0.0,
2004-06-03,,0.0,-1.0,0.0,17.163766666666664,0.0,
2004-06-10,,0.0,-1.0,0.0,15.801749999999991,0.0,
2004-06-17,,0.0,-1.0,0.0,15.747174999999988,0.0,
2004-06-24,,0.0,-1.0,0.0,14.931599999999987,0.0,
2004-07-01,,0.0,-1.0,0.0,15.825399999999988,0.0,
2004-07-08,,0.0,-1.0,0.0,16.279124999999986,0.0,
2004-07-15,,0.0,-1.0,0.0,14.94649999999999,0.0,
2004-07-22,,0.0,-1.0,0.0,15.740949999999984,0.0,
2004-07-29,,0.0,-1.0,0.0,14.94676666666666,0.0,
2004-08-05,,0.0,-1.0,0.0,19.38217499999999,0.0,
2004-08-12,,0.0,-1.0,0.0,19.170199999999994,0.0,
2004-08-19,,0.0,-1.0,0.0,17.19553333333333,0.0,
2004-08-26,,0.0,-1.0,0.0,15.69500000000002,0.0,
2004-09-02,,0.0,-1.0,0.0,15.739600000000019,0.0,
2004-09-09,,0.0,-1.0,0.0,15.798400000000022,0.0,
2004-09-16,,0.0,-1.0,0.0,15.817100000000018,0.0,
2004-09-23,,0.0,-1.0,0.0,15.766500000000018,0.0,
2004-09-30,,0.0,-1.0,0.0,15.79680000000002,0.0,
2004-10-07,,0.0,-1.0,0.0,13.947199999999999,0.0,
2004-10-14,,0.0,-1.0,0.0,16.61929999999999,0.0,
2004-10-21,,0.0,-1.0,0.0,14.063259999999987,0.0,
2004-10-28,,0.0,-1.0,0.0,15.091499999999986,0.0,
2004-11-04,,0.0,-1.0,0.0,13.637399999999998,0.0,
2004-11-11,2.429921767778395,0.0,-1.0,0.0,13.486599999999992,0.0,-0.33699116
2004-11-18,2.4079021627521504,0.0,-1.0,0.0,13.462299999999995,0.0,-0.4227892
2004-11-25,2.391120866641997,0.0,-1.0,0.0,13.459299999999995,0.0,-0.50369567
2004-12-02,2.3788664812660207,0.0,-1.0,0.0,13.462299999999995,0.0,-0.5679676
2004-12-09,2.370070711479186,0.0,-1.0,0.0,13.459299999999995,0.0,-0.60894644
2004-12-16,2.2080945905596434,0.0,-1.0,0.0,12.675453333333342,0.0,-0.6349804
2004-12-23,2.2096475283177712,0.0,-1.0,0.0,12.707016666666675,0.0,-0.658779
2004-12-30,2.2006036955833452,0.0,-1.0,0.0,12.684750000000008,0.0,-0.6817315
2005-01-06,2.2655367670440683,0.0,-1.0,0.0,13.002700000000004,0.0,-0.67501616
2005-01-13,2.2350801252619394,0.0,-1.0,0.0,12.833383333333318,0.0,-0.6579827
2005-01-20,4.6865949630737305,5.456727539664052,-1.0,0.0,13.193699999999996,0.0,-0.6558356
2005-01-27,4.314004421234131,5.325201787036049,-1.0,0.0,12.871200000000004,0.0,-0.62949556
2005-02-03,4.38602352142334,5.1448519775476305,-1.0,0.0,12.423349999999994,0.0,-0.6138735
2005-02-10,4.907657623291016,5.147529950274609,-1.0,0.0,12.423349999999994,0.0,-0.6386097
2005-02-17,4.9071526527404785,5.149678759564724,-1.0,0.0,12.423349999999994,0.0,-0.6583414
2005-02-24,4.91781759262085,4.796414563014197,-1.0,0.0,11.535499999999997,0.0,-0.66563123
2005-03-03,4.91781759262085,5.14268624994163,-1.0,0.0,12.403099999999995,0.0,-0.6682611
2005-03-10,4.91781759262085,5.151490842075463,-1.0,0.0,12.426693333333327,0.0,-0.6627216
2005-03-17,4.8195929527282715,5.467986895836608,-1.0,0.0,13.223000000000004,0.0,-0.65186155
2005-03-24,4.62502384185791,5.400101837081612,-1.0,0.0,13.062800000000005,0.0,-0.61516446
2005-03-31,4.575870990753174,5.766073260163711,-1.0,0.0,13.9944,0.0,-0.56066185
2005-04-07,5.233026027679443,4.874204887181003,-1.0,0.0,11.774700000000005,0.0,-0.5018974
2005-04-14,4.575870990753174,5.934291027878077,-1.0,0.0,14.426239999999982,0.0,-0.5210407
2005-04-21,4.575870990753174,5.880737962743093,-1.0,0.0,14.314699999999998,0.0,-0.4338155
2005-04-28,4.5484724044799805,6.974959775400253,-1.0,0.0,17.076050000000002,0.0,-0.34972325
2005-05-05,4.548531532287598,5.772428845458646,-1.0,0.0,14.081199999999999,0.0,-0.2835586
2005-05-12,4.963292121887207,6.191857404887361,-1.0,0.0,15.132299999999997,0.0,-0.28128326
